List Price,Sale Price,Brand,category_level1,ecomm_id
31.99,31.99,Eye Buy Express,Health,702
31.99,31.99,Eye Buy Express,Health,703
18.99,18.99,Eye Buy Express,Health,704
24.99,24.99,Eye Buy Express,Health,705
34.99,34.99,Eye Buy Express,Health,706
34.99,34.99,Eye Buy Express,Health,707
27.99,27.99,Eye Buy Express,Health,708
40.99,40.99,Eye Buy Express,Health,709
40.99,40.99,Eye Buy Express,Health,710
33.99,33.99,Eye Buy Express,Health,711
24.99,24.99,Eye Buy Express,Health,712
33.99,33.99,Eye Buy Express,Health,713
24.99,24.99,Eye Buy Express,Health,714
22.99,22.99,Eye Buy Express,Health,715
18.99,18.99,Eye Buy Express,Health,716
38.99,38.99,Eye Buy Express,Health,717
34.99,34.99,Eye Buy Express,Health,718
22.99,22.99,Eye Buy Express,Health,719
24.99,24.99,Eye Buy Express,Health,720
27.99,27.99,Eye Buy Express,Health,721
34.99,34.99,Eye Buy Express,Health,722
24.99,24.99,Eye Buy Express,Health,723
27.99,27.99,Eye Buy Express,Health,724
24.99,24.99,Eye Buy Express,Health,725
27.99,27.99,Eye Buy Express,Health,726
27.99,27.99,Eye Buy Express,Health,727
27.99,27.99,Eye Buy Express,Health,728
34.99,34.99,Eye Buy Express,Health,729
38.99,38.99,Eye Buy Express,Health,730
40.99,40.99,Eye Buy Express,Health,731
18.99,18.99,Eye Buy Express,Health,732
34.99,34.99,Eye Buy Express,Health,733
34.99,34.99,Eye Buy Express,Health,734
24.99,24.99,Eye Buy Express,Health,735
33.99,33.99,Eye Buy Express,Health,736
27.99,27.99,Eye Buy Express,Health,737
34.99,34.99,Eye Buy Express,Health,738
27.99,27.99,Eye Buy Express,Health,739
31.99,31.99,Eye Buy Express,Health,740
24.99,24.99,Eye Buy Express,Health,741
27.99,27.99,Eye Buy Express,Health,742
31.99,31.99,Eye Buy Express,Health,743
27.99,27.99,Eye Buy Express,Health,744
31.99,31.99,Eye Buy Express,Health,745
22.99,22.99,Eye Buy Express,Health,746
40.99,40.99,Eye Buy Express,Health,748
27.99,27.99,Eye Buy Express,Health,749
40.99,40.99,Eye Buy Express,Health,750
31.99,31.99,Eye Buy Express,Health,751
34.99,34.99,Eye Buy Express,Health,752
18.99,18.99,Eye Buy Express,Health,753
33.99,33.99,Eye Buy Express,Health,754
40.99,40.99,Eye Buy Express,Health,755
33.99,33.99,Eye Buy Express,Health,756
18.99,18.99,Eye Buy Express,Health,757
27.99,27.99,Eye Buy Express,Health,758
24.99,24.99,Eye Buy Express,Health,759
18.99,18.99,Eye Buy Express,Health,760
38.99,38.99,Eye Buy Express,Health,761
18.99,18.99,Eye Buy Express,Health,762
24.99,24.99,Eye Buy Express,Health,763
33.99,33.99,Eye Buy Express,Health,764
31.99,31.99,Eye Buy Express,Health,765
22.99,22.99,Eye Buy Express,Health,766
18.99,18.99,Eye Buy Express,Health,767
24.99,24.99,Eye Buy Express,Health,768
31.99,31.99,Eye Buy Express,Health,769
22.99,22.99,Eye Buy Express,Health,770
33.99,33.99,Eye Buy Express,Health,771
22.99,22.99,Eye Buy Express,Health,772
22.99,22.99,Eye Buy Express,Health,773
38.99,38.99,Eye Buy Express,Health,774
31.99,31.99,Eye Buy Express,Health,775
40.99,40.99,Eye Buy Express,Health,776
22.99,22.99,Eye Buy Express,Health,777
31.99,31.99,Eye Buy Express,Health,778
27.99,27.99,Eye Buy Express,Health,780
33.99,33.99,Eye Buy Express,Health,781
34.99,34.99,Eye Buy Express,Health,782
27.99,27.99,Eye Buy Express,Health,783
18.99,18.99,Eye Buy Express,Health,784
27.99,27.99,Eye Buy Express,Health,785
34.99,34.99,Eye Buy Express,Health,786
38.99,38.99,Eye Buy Express,Health,787
31.99,31.99,Eye Buy Express,Health,788
40.99,40.99,Eye Buy Express,Health,789
24.99,24.99,Eye Buy Express,Health,790
40.99,40.99,Eye Buy Express,Health,791
18.99,18.99,Eye Buy Express,Health,792
38.99,38.99,Eye Buy Express,Health,793
22.99,22.99,Eye Buy Express,Health,794
18.99,18.99,Eye Buy Express,Health,795
40.99,40.99,Eye Buy Express,Health,796
27.99,27.99,Eye Buy Express,Health,797
40.99,40.99,Eye Buy Express,Health,798
38.99,38.99,Eye Buy Express,Health,799
33.99,33.99,Eye Buy Express,Health,800
22.99,22.99,Eye Buy Express,Health,801
40.99,40.99,Eye Buy Express,Health,802
40.99,40.99,Eye Buy Express,Health,803
27.99,27.99,Eye Buy Express,Health,804
24.99,24.99,Eye Buy Express,Health,805
33.99,33.99,Eye Buy Express,Health,806
27.99,27.99,Eye Buy Express,Health,807
18.99,18.99,Eye Buy Express,Health,808
24.99,24.99,Eye Buy Express,Health,809
34.99,34.99,Eye Buy Express,Health,810
40.99,40.99,Eye Buy Express,Health,812
27.99,27.99,Eye Buy Express,Health,813
27.99,27.99,Eye Buy Express,Health,814
40.99,40.99,Eye Buy Express,Health,815
22.99,22.99,Eye Buy Express,Health,816
34.99,34.99,Eye Buy Express,Health,817
31.99,31.99,Eye Buy Express,Health,818
18.99,18.99,Eye Buy Express,Health,819
22.99,22.99,Eye Buy Express,Health,820
18.99,18.99,Eye Buy Express,Health,821
34.99,34.99,Eye Buy Express,Health,822
18.99,18.99,Eye Buy Express,Health,823
31.99,31.99,Eye Buy Express,Health,824
24.99,24.99,Eye Buy Express,Health,825
34.99,34.99,Eye Buy Express,Health,826
33.99,33.99,Eye Buy Express,Health,827
38.99,38.99,Eye Buy Express,Health,828
33.99,33.99,Eye Buy Express,Health,829
22.99,22.99,Eye Buy Express,Health,830
33.99,33.99,Eye Buy Express,Health,831
38.99,38.99,Eye Buy Express,Health,832
34.99,34.99,Eye Buy Express,Health,833
34.99,34.99,Eye Buy Express,Health,834
18.99,18.99,Eye Buy Express,Health,835
40.99,40.99,Eye Buy Express,Health,836
27.99,27.99,Eye Buy Express,Health,837
38.99,38.99,Eye Buy Express,Health,838
34.99,34.99,Eye Buy Express,Health,839
18.99,18.99,Eye Buy Express,Health,840
18.99,18.99,Eye Buy Express,Health,841
38.99,38.99,Eye Buy Express,Health,843
34.99,34.99,Eye Buy Express,Health,844
31.99,31.99,Eye Buy Express,Health,845
40.99,40.99,Eye Buy Express,Health,846
27.99,27.99,Eye Buy Express,Health,847
38.99,38.99,Eye Buy Express,Health,848
18.99,18.99,Eye Buy Express,Health,849
38.99,38.99,Eye Buy Express,Health,850
38.99,38.99,Eye Buy Express,Health,851
24.99,24.99,Eye Buy Express,Health,852
34.99,34.99,Eye Buy Express,Health,853
18.99,18.99,Eye Buy Express,Health,854
33.99,33.99,Eye Buy Express,Health,855
40.99,40.99,Eye Buy Express,Health,856
33.99,33.99,Eye Buy Express,Health,857
38.99,38.99,Eye Buy Express,Health,858
34.99,34.99,Eye Buy Express,Health,859
24.99,24.99,Eye Buy Express,Health,860
34.99,34.99,Eye Buy Express,Health,861
18.99,18.99,Eye Buy Express,Health,862
31.99,31.99,Eye Buy Express,Health,863
33.99,33.99,Eye Buy Express,Health,864
38.47,38.47,Giovanni,Beauty,865
3.69,3.69,Creative Converting,Party & Occasions,866
92.02,92.02,NOW Foods,,867
586.25,586.25,AARCO,Office,868
353.2,353.2,AARCO,Office,869
355.58,355.58,AARCO,Office,870
327.58,327.58,AARCO,Office,871
611.87,611.87,AARCO,Office,872
665.2,665.2,AARCO,Office,873
656.98,656.98,AARCO,Office,874
421.87,421.87,AARCO,Office,875
299.87,299.87,AARCO,Office,876
655.2,655.2,AARCO,Office,877
381.2,381.2,AARCO,Office,878
512.92,512.92,AARCO,Office,880
396.25,396.25,AARCO,Office,881
421.87,421.87,AARCO,Office,882
538.54,538.54,AARCO,Office,883
353.2,353.2,AARCO,Office,884
629.58,629.58,AARCO,Office,885
665.2,665.2,AARCO,Office,886
441.87,441.87,AARCO,Office,887
315.2,315.2,AARCO,Office,888
289.58,289.58,AARCO,Office,889
274.25,274.25,AARCO,Office,890
538.54,538.54,AARCO,Office,891
381.2,381.2,AARCO,Office,892
315.2,315.2,AARCO,Office,893
611.87,611.87,AARCO,Office,894
639.58,639.58,AARCO,Office,895
441.87,441.87,AARCO,Office,896
655.2,655.2,AARCO,Office,897
100.74,100.74,Paper Mart,Party & Occasions,898
46.0,46.0,Larissa Veronica,Food,899
32.5,32.5,CHOSEN SUPPLIES,Household Essentials,901
43.0,43.0,Jimmy Choo,Beauty,903
40.85,40.85,CHOSEN SUPPLIES,Household Essentials,906
